date,pod,source_file,days_in_month,F1_kWh,F2_kWh,F3_kWh,total_kWh,F1_daily_kWh,F2_daily_kWh,F3_daily_kWh
2023-11-01,IT012E00314418,1_E_0367614_20231224.pdf,30,13907.0,6068.0,5909.0,25884.0,463.56666666666666,202.26666666666668,196.96666666666667
2023-12-01,IT012E00314418,1_E_0367614_20231224.pdf,31,8000.0,4400.0,7600.0,20000.0,258.06451612903226,141.93548387096774,245.16129032258064
2024-01-01,IT012E00314418,1_E_0338729_20241107.pdf,31,16150.0,8562.0,7595.0,32307.0,520.9677419354839,276.19354838709677,245.0
2024-02-01,IT012E00314418,1_E_0338729_20241107.pdf,29,11544.0,6086.0,7414.0,25044.0,398.0689655172414,209.86206896551724,255.6551724137931
2024-03-01,IT012E00314418,1_E_0338729_20241107.pdf,31,9779.0,5592.0,6032.0,21403.0,315.4516129032258,180.38709677419354,194.58064516129033
2024-04-01,IT012E00314418,1_E_0338729_20241107.pdf,30,8525.0,4127.0,5978.0,18630.0,284.1666666666667,137.56666666666666,199.26666666666668
2024-05-01,IT012E00314418,1_E_0338729_20241107.pdf,31,9378.0,3922.0,4620.0,17920.0,302.51612903225805,126.51612903225806,149.03225806451613
2024-06-01,IT012E00314418,1_E_0338729_20241107.pdf,30,11057.0,6185.0,6252.0,23494.0,368.56666666666666,206.16666666666666,208.4
2024-07-01,IT012E00314418,1_E_0338729_20241107.pdf,31,18922.0,7258.0,6591.0,32771.0,610.3870967741935,234.1290322580645,212.61290322580646
2024-08-01,IT012E00314418,1_E_0338729_20241107.pdf,31,15309.0,6705.0,6430.0,28444.0,493.83870967741933,216.29032258064515,207.41935483870967
2024-09-01,IT012E00314418,1_E_0338729_20241107.pdf,30,10522.0,4724.0,4781.0,20027.0,350.73333333333335,157.46666666666667,159.36666666666667
2024-10-01,IT012E00314418,1_E_0338729_20241107.pdf,31,8859.0,4604.0,4971.0,18434.0,285.7741935483871,148.51612903225808,160.3548387096774
2024-11-01,IT012E00314418,1_E_0062330_20250311.pdf,30,12284.0,7773.0,11319.0,31376.0,409.46666666666664,259.1,377.3
2024-12-01,IT012E00314418,1_E_0062330_20250311.pdf,31,14807.0,5676.0,10879.0,31362.0,477.64516129032256,183.09677419354838,350.93548387096774
2025-01-01,IT012E00314418,1_E_0062330_20250311.pdf,31,17116.0,6299.0,9304.0,32719.0,552.1290322580645,203.19354838709677,300.1290322580645
